Award,Category,Year,Nominee,Won,Tony
DramaDesk,Director,2001,Scott Schwartz,0,
DramaDesk,Director,2002,Michael Mayer,1,0
DramaDesk,Director,2002,Nicholas Hytner,0,
DramaDesk,Director,2002,James Lapine,0,
DramaDesk,Director,2002,Trevor Nunn,0,
DramaDesk,Director,2002,Scott Schwartz,0,
DramaDesk,Director,2002,George C. Wolfe,0,
DramaDesk,Director,2003,Jack O'Brien,1,1
DramaDesk,Director,2003,James Lapine,0,
DramaDesk,Director,2003,David Leveaux,0,
DramaDesk,Director,2003,Baz Luhrmann,0,
DramaDesk,Director,2003,Joe Mantello,0,
DramaDesk,Director,2003,Twyla Tharp,0,
DramaDesk,Director,2004,Joe Mantello,1,1
DramaDesk,Director,2004,Jeff Calhoun,0,
DramaDesk,Director,2004,Pamela Hunt,0,
DramaDesk,Director,2004,Joe Mantello,0,
DramaDesk,Director,2004,Kathleen Marshall,0,
DramaDesk,Director,2004,George C. Wolfe,0,
DramaDesk,Director,2005,James Lapine,1,0
DramaDesk,Director,2005,Matthew Bourne,0,
DramaDesk,Director,2005,Jack Cummings III,0,
DramaDesk,Director,2005,Mark Dornford-May,0,
DramaDesk,Director,2005,Mike Nichols,0,
DramaDesk,Director,2005,Bartlett Sher,0,
DramaDesk,Director,2006,John Doyle,1,1
DramaDesk,Director,2006,Michael Greif,0,
DramaDesk,Director,2006,Daniel Finzi Pasca,0,
DramaDesk,Director,2006,Des McAnuff,0,
DramaDesk,Director,2006,Casey Nicholaw,0,
DramaDesk,Director,2006,Kathleen Marshall,0,
DramaDesk,Director,2007,Michael Mayer,1,1
DramaDesk,Director,2007,John Doyle,0,
DramaDesk,Director,2007,Thomas Kail,0,
DramaDesk,Director,2007,Jerry Mitchell,0,
DramaDesk,Director,2007,Harold Prince,0,
DramaDesk,Director,2007,Alex Timbers,0,
DramaDesk,Director,2008,Bartlett Sher,1,1
DramaDesk,Director,2008,Christopher Ashley,0,
DramaDesk,Director,2008,Sam Buntrock,0,
DramaDesk,Director,2008,David Cromer,0,
DramaDesk,Director,2008,John Doyle,0,
DramaDesk,Director,2008,Bob McGrath,0,
DramaDesk,Director,2009,Stephen Daldry,1,1
DramaDesk,Director,2009,Walter Bobbie,0,
DramaDesk,Director,2009,Joe Mantello,0,
DramaDesk,Director,2009,Jason Moore,0,
DramaDesk,Director,2009,Diane Paulus,0,
DramaDesk,Director,2009,Stuart Ross,0,
DramaDesk,Director,2010,Michael Mayer,1,0
DramaDesk,Director,2010,Warren Carlyle,0,
DramaDesk,Director,2010,Marcia Milgrom Dodge,0,
DramaDesk,Director,2010,Igor Goldin,0,
DramaDesk,Director,2010,Terry Johnson,0,
DramaDesk,Director,2010,Susan Stroman,0,
DramaDesk,Director,2011,Casey Nicholaw and Trey Parker,1,1
DramaDesk,Director,2011,Rob Ashford,0,
DramaDesk,Director,2011,Joe Calarco,0,
DramaDesk,Director,2011,Jack Cummings III,0,
DramaDesk,Director,2011,Jack Cummings III,0,
DramaDesk,Director,2011,Kathleen Marshall,0,
DramaDesk,Director,2012,John Tiffany,1,1
DramaDesk,Director,2012,Christopher Ashley,0,
DramaDesk,Director,2012,Jack Cummings III,0,
DramaDesk,Director,2012,Doug Hughes,0,
DramaDesk,Director,2012,Kathleen Marshall,0,
DramaDesk,Director,2012,Eric Schaeffer,0,
DramaDesk,Director,2013,Diane Paulus,1,1
DramaDesk,Director,2013,Andy Blankenbuehler,0,
DramaDesk,Director,2013,Rachel Chavkin,0,
DramaDesk,Director,2013,John Doyle,0,
DramaDesk,Director,2013,Emma Rice,0,
DramaDesk,Director,2013,Alex Timbers,0,
DramaDesk,Director,2013,Matthew Warchus,0,
DramaDesk,Director,2014,Darko Tresnjak,1,1
DramaDesk,Director,2014,Sam Gold,0,
DramaDesk,Director,2014,Michael Mayer,0,
DramaDesk,Director,2014,Bartlett Sher,0,
DramaDesk,Director,2014,Susan Stroman,0,
DramaDesk,Director,2014,Alex Timbers,0,
DramaDesk,Director,2015,Thomas Kail,1,1
DramaDesk,Director,2015,Carolyn Cantor,0,
DramaDesk,Director,2015,Bill Condon,0,
DramaDesk,Director,2015,John Doyle,0,
DramaDesk,Director,2015,Casey Nicholaw,0,
DramaDesk,Director,2015,Christopher Wheeldon,0,
DramaDesk,Director,2016,John Doyle,1,0
DramaDesk,Director,2016,Bartlett Sher,0,
DramaDesk,Director,2016,Michael Arden,0,
DramaDesk,Director,2016,Rupert Goold,0,
DramaDesk,Director,2016,Bryna Wasserman and Motl Didner,0,
DramaDesk,Director,2017,Rachel Chavkin,1,0
DramaDesk,Director,2017,David Cromer,0,
DramaDesk,Director,2017,Christopher Ashley,0,
DramaDesk,Director,2017,Bill Buckhurst,0,
DramaDesk,Director,2017,Jerry Zaks,0,
DramaDesk,Director,2018,Tina Landau,1,0
DramaDesk,Director,2018,Christian Barry,0,
DramaDesk,Director,2018,Teddy Bergman,0,
DramaDesk,Director,2018,Jack O'Brien,0,
DramaDesk,Director,2018,Bartlett Sher,0,
DramaDesk,Music,2000,The Wild Party,1,0
DramaDesk,Music,2000,James Joyce's The Dead ˆ,0,
DramaDesk,Music,2000,Saturday Night,0,
DramaDesk,Music,2001,The Full Monty ˆ,1,0
DramaDesk,Music,2001,The Bubbly Black Girl Sheds Her Chameleon Skin,0,
DramaDesk,Music,2001,Seussical,0,
DramaDesk,Music,2001,Urinetown Ê,0,
DramaDesk,Music,2001,A Class Act ˆ,0,
DramaDesk,Music,2001,Bat Boy: The Musical,0,
DramaDesk,Music,2002,The Last Five Years,1,0
DramaDesk,Music,2002,Sweet Smell of Success ˆ,0,
DramaDesk,Music,2002,"Tick, Tick... BOOM!",0,
DramaDesk,Music,2002,Thoroughly Modern Millie ˆ,0,
DramaDesk,Music,2003,Hairspray Ê,1,0
DramaDesk,Music,2003,"Zanna, Don't!",0,
DramaDesk,Music,2003,A Man of No Importance,0,
DramaDesk,Music,2003,Amour ˆ,0,
DramaDesk,Music,2003,Avenue Q Ê,0,
DramaDesk,Music,2003,Thunder Knocking on the Door,0,
DramaDesk,Music,2004,"Caroline, or Change ˆ",1,0
DramaDesk,Music,2004,Ramayana 2K3,0,
DramaDesk,Music,2004,Taboo ˆ,0,
DramaDesk,Music,2004,The Musical of Musicals (The Musical!),0,
DramaDesk,Music,2004,Wicked ˆ,0,
DramaDesk,Music,2004,Johnny Guitar,0,
DramaDesk,Music,2005,The Light in the Piazza Ê,1,1
DramaDesk,Music,2005,Altar Boyz,0,
DramaDesk,Music,2005,Play Without Words,0,
DramaDesk,Music,2005,The 25th Annual Putnam County Spelling Bee ˆ,0,
DramaDesk,Music,2005,Dessa Rose,0,
DramaDesk,Music,2005,Dirty Rotten Scoundrels ˆ,0,
DramaDesk,Music,2006,The Drowsy Chaperone Ê,1,1
DramaDesk,Music,2006,Thrill Me,0,
DramaDesk,Music,2006,Grey Gardens ˆ,0,
DramaDesk,Music,2006,See What I Wanna See,0,
DramaDesk,Music,2006,The Pursuit of Persephone,0,
DramaDesk,Music,2006,The Wedding Singer ˆ,0,
DramaDesk,Music,2007,Spring Awakening Ê,1,1
DramaDesk,Music,2007,Curtains ˆ,0,
DramaDesk,Music,2007,"Twist: Please, Sir, May I Have Some More?",0,
DramaDesk,Music,2007,Adrift in Macao,0,
DramaDesk,Music,2007,In the Heights Ê,0,
DramaDesk,Music,2007,Legally Blonde ˆ,0,
DramaDesk,Music,2008,Passing Strange ˆ,1,0
DramaDesk,Music,2008,A Catered Affair,0,
DramaDesk,Music,2008,The Glorious Ones,0,
DramaDesk,Music,2008,Next to Normal Ê,0,
DramaDesk,Music,2008,The Slug Bearers of Kayrol Island,0,
DramaDesk,Music,2008,Adding Machine,0,
DramaDesk,Music,2009,Billy Elliot the Musical ˆ,1,0
DramaDesk,Music,2009,The Story of My Life,0,
DramaDesk,Music,2009,Dear Edwina,0,
DramaDesk,Music,2009,9 to 5 ˆ,0,
DramaDesk,Music,2009,Road Show,0,
DramaDesk,Music,2009,Shrek the Musical ˆ,0,
DramaDesk,Music,2010,Memphis Ê,1,1
DramaDesk,Music,2010,Bloody Bloody Andrew Jackson,0,
DramaDesk,Music,2010,Bloodsong of Love,0,
DramaDesk,Music,2010,The Scottsboro Boys ˆ,0,
DramaDesk,Music,2010,The Addams Family ˆ,0,
DramaDesk,Music,2010,Yank!,0,
DramaDesk,Music,2011,The Book of Mormon Ê,1,1
DramaDesk,Music,2011,See Rock City & Other Destinations,0,
DramaDesk,Music,2011,Sister Act ˆ,0,
DramaDesk,Music,2011,Catch Me If You Can,0,
DramaDesk,Music,2011,The People in the Picture,0,
DramaDesk,Music,2011,Women on the Verge of a Nervous Breakdown ˆ,0,
DramaDesk,Music,2012,Newsies Ê,1,1
DramaDesk,Music,2012,Once,0,
DramaDesk,Music,2012,Queen of the Mist,0,
DramaDesk,Music,2012,Leap of Faith,0,
DramaDesk,Music,2012,Bonnie & Clyde ˆ,0,
DramaDesk,Music,2012,Death Takes a Holiday,0,
DramaDesk,Music,2013,Here Lies Love,1,0
DramaDesk,Music,2013,Hands on a Hardbody ˆ,0,
DramaDesk,Music,2013,Giant,0,
DramaDesk,Music,2013,"Natasha, Pierre and the Great Comet of 1812",0,
DramaDesk,Music,2013,A Christmas Story: The Musical ˆ,0,
DramaDesk,Music,2013,The Other Josh Cohen,0,
DramaDesk,Music,2014,The Bridges of Madison County Ê,1,1
DramaDesk,Music,2014,Big Fish,0,
DramaDesk,Music,2014,A Gentleman's Guide to Love and Murder ˆ,0,
DramaDesk,Music,2014,Aladdin ˆ,0,
DramaDesk,Music,2014,Heathers: The Musical,0,
DramaDesk,Music,2014,Fun Home Ê,0,
DramaDesk,Music,2015,Hamilton Ê,1,1
DramaDesk,Music,2015,Honeymoon in Vegas,0,
DramaDesk,Music,2015,The Fortress of Solitude,0,
